,lumber,oil,dollar-index,spy_futures,vix,ten year bond,three year bond,macro_csv\ACDGNO.csv,macro_csv\ADXTNO.csv,macro_csv\ANDENO.csv,macro_csv\AWHMAN.csv,macro_csv\CMRMTSPL.csv,macro_csv\commodity-price-index-300.csv,macro_csv\energy-price-index-300.csv,macro_csv\FF.csv,macro_csv\food-and-beverage-price-index-300.csv,macro_csv\industrial-inputs-price-index-300.csv,macro_csv\IPBUSEQ.csv,macro_csv\IPMAT.csv,macro_csv\IPMINE.csv,macro_csv\IPUTIL.csv,macro_csv\metals-price-index-300.csv,macro_csv\NEWORDER.csv,macro_csv\NPPTTL.csv,macro_csv\PERMIT.csv,macro_csv\PERMIT1.csv,macro_csv\PERMIT5.csv,macro_csv\T10YIE.csv,macro_csv\TCU.csv,macro_csv\UEMPMEAN.csv,real_interest_rate,inflation_consumer_prices_annual,gdp_growth_annual,debt_percent_gdp,net_trades_goods_services,exports_of_goods_services_percent_gdp,imports_of_goods_services_percent_gdp,gni_usd,market_cap_domestic_companies_percent_gdp,merchandise_trade_percent_gdp,labels
2014-02-07,0.0529500756429652,-0.0617797090496883,-0.0202454887769574,0.0916098428698488,-0.1100448019472284,0.1219008264462808,2.65,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,0.052950025,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-02-10,0.074455205811138,-0.0557517899761337,-0.0226719955022672,0.0867552635508437,0.0612526056214015,0.140046054008792,2.6395736175882747,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,0.07445526,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-02-11,0.0879221174323092,-0.0421855391447051,-0.020019135938765,0.0763539508730393,0.1244573303191152,0.1079764562614167,2.6794354838709675,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,0.087922096,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-02-12,0.1175931582162492,-0.0347134684378939,-0.0157440698972892,0.077688651218063,0.1028691582192411,0.0773633313597788,2.6720430107526885,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,0.11759317,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-02-13,0.1088623121741796,-0.0227936879018118,-0.0150771044101757,0.092229375655038,0.1320622075836506,0.0894033127120335,2.7081081081081084,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,0.10886228,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-02-14,0.1029769137302551,-0.0363001067650198,-0.012667752121571,0.0835435524558538,0.1272600108114037,0.0917980443025343,2.489144316730524,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,0.10297692,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-02-18,0.0957854406130267,-0.0432584815786916,-0.0132972507534289,0.0948883225903163,-0.0502408503545823,0.0894033127120335,2.488874761602035,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,0.0957855,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-02-19,0.0942071386775891,-0.0673311834261702,-0.0014807072554655,0.1092093305059072,0.0412067299230856,0.0849244232299126,2.479338842975207,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,0.09420717,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-02-20,0.0732548118356795,-0.0791846334770679,0.0038270377733597,0.0965883244882486,0.0478723496767217,0.0779400157853198,2.4895104895104896,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,0.07325482,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-02-21,0.0584250635055036,-0.1024975984630162,0.002495375485729,0.0836795252225519,-0.0060975552137091,0.0787914691943127,2.451165721487083,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,0.05842507,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
