"ENV","ENVESTNET INC","Information Technology","Equity","93,365,870.40","0.14","93,365,870.40","1,178,862.00","79.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSP","INSPERITY INC","Industrials","Equity","93,172,564.50","0.14","93,172,564.50","850,891.00","109.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHCG","LHC GROUP INC","Health Care","Equity","92,602,963.61","0.14","92,602,963.61","713,593.00","129.77","United States","NASDAQ","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","92,536,644.70","0.14","92,536,644.70","346,865.00","266.78","United States","NASDAQ","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","92,474,235.00","0.14","92,474,235.00","3,476,475.00","26.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","92,151,378.45","0.14","92,151,378.45","2,805,217.00","32.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDFN","REDFIN CORP","Real Estate","Equity","92,063,643.48","0.14","92,063,643.48","2,375,223.00","38.76","United States","NASDAQ","USD","1.00","USD","-"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Industrials","Equity","91,959,966.63","0.14","91,959,966.63","918,039.00","100.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETRN","EQUITRANS MIDSTREAM CORP","Energy","Equity","91,951,737.92","0.14","91,951,737.92","9,658,796.00","9.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EYE","NATIONAL VISION HOLDINGS INC","Consumer Discretionary","Equity","91,854,613.22","0.14","91,854,613.22","1,922,449.00","47.78","United States","NASDAQ","USD","1.00","USD","-"
"PCH","POTLATCHDELTIC CORP","Real Estate","Equity","91,853,100.46","0.14","91,853,100.46","1,552,097.00","59.18","United States","NASDAQ","USD","1.00","USD","-"
"LCII","LCI INDUSTRIES","Consumer Discretionary","Equity","91,476,883.92","0.14","91,476,883.92","581,692.00","157.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","91,237,517.91","0.14","91,237,517.91","3,499,713.00","26.07","United States","NASDAQ","USD","1.00","USD","-"
"SHOO","STEVEN MADDEN LTD","Consumer Discretionary","Equity","91,147,959.69","0.14","91,147,959.69","1,939,731.00","46.99","United States","NASDAQ","USD","1.00","USD","-"
"PNM","PNM RESOURCES INC","Utilities","Equity","91,075,896.75","0.14","91,075,896.75","2,012,727.00","45.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPWK","UPWORK INC","Industrials","Equity","91,053,990.20","0.14","91,053,990.20","2,772,655.00","32.84","United States","NASDAQ","USD","1.00","USD","-"
"CNMD","CONMED CORP","Health Care","Equity","91,051,864.05","0.14","91,051,864.05","680,253.00","133.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DBRG","DIGITALBRIDGE GROUP INC CLASS A","Real Estate","Equity","90,865,517.36","0.14","90,865,517.36","11,415,266.00","7.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DEN","DENBURY INC","Energy","Equity","90,849,580.71","0.14","90,849,580.71","1,187,421.00","76.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAFM","SANDERSON FARMS INC","Consumer Staples","Equity","90,744,646.72","0.14","90,744,646.72","478,712.00","189.56","United States","NASDAQ","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","90,351,318.33","0.14","90,351,318.33","4,435,509.00","20.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","90,275,416.00","0.14","90,275,416.00","1,244,320.00","72.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MC","MOELIS CLASS A","Financials","Equity","90,049,424.98","0.14","90,049,424.98","1,453,817.00","61.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SI","SILVERGATE CAPITAL CLASS A CORP","Financials","Equity","89,992,443.71","0.14","89,992,443.71","646,451.00","139.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","89,695,561.20","0.13","89,695,561.20","2,755,624.00","32.55","United States","NASDAQ","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Information Technology","Equity","89,459,171.40","0.13","89,459,171.40","5,405,388.00","16.55","United States","NASDAQ","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","89,426,829.33","0.13","89,426,829.33","533,223.00","167.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TNET","TRINET GROUP INCINARY","Industrials","Equity","89,421,773.16","0.13","89,421,773.16","953,934.00","93.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","89,033,422.80","0.13","89,033,422.80","2,266,635.00","39.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BNL","BROADSTONE NET LEASE INC","Real Estate","Equity","88,796,556.36","0.13","88,796,556.36","3,621,393.00","24.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLKB","BLACKBAUD INC","Information Technology","Equity","88,567,946.10","0.13","88,567,946.10","1,142,370.00","77.53","United States","NASDAQ","USD","1.00","USD","-"
"BEAM","BEAM THERAPEUTICS INC","Health Care","Equity","88,366,779.76","0.13","88,366,779.76","1,173,218.00","75.32","United States","NASDAQ","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","88,163,494.09","0.13","88,163,494.09","3,629,621.00","24.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRTN","TRITON INTERNATIONAL LTD","Industrials","Equity","87,290,753.55","0.13","87,290,753.55","1,568,567.00","55.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FOCS","FOCUS FINANCIAL PARTNERS INC CLASS","Financials","Equity","86,904,134.55","0.13","86,904,134.55","1,413,765.00","61.47","United States","NASDAQ","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","86,745,094.80","0.13","86,745,094.80","1,164,520.00","74.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBU","COMMUNITY BANK SYSTEM INC","Financials","Equity","86,000,474.04","0.13","86,000,474.04","1,172,947.00","73.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEO","AMERICAN EAGLE OUTFITTERS INC","Consumer Discretionary","Equity","85,388,578.26","0.13","85,388,578.26","3,584,743.00","23.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OUT","OUTFRONT MEDIA INC","Real Estate","Equity","85,359,256.64","0.13","85,359,256.64","3,408,916.00","25.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","85,308,333.81","0.13","85,308,333.81","3,333,659.00","25.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INDB","INDEPENDENT BANK CORP","Financials","Equity","85,233,376.30","0.13","85,233,376.30","1,039,685.00","81.98","United States","NASDAQ","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","85,078,002.66","0.13","85,078,002.66","5,007,534.00","16.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIM","CHIMERA INVESTMENT CORP","Financials","Equity","84,771,779.15","0.13","84,771,779.15","5,566,105.00","15.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWR","AMERICAN STATES WATER","Utilities","Equity","84,767,023.84","0.13","84,767,023.84","864,176.00","98.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBH","KB HOME","Consumer Discretionary","Equity","84,651,698.24","0.13","84,651,698.24","1,955,908.00","43.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EBC","EASTERN BANKSHARES INC","Financials","Equity","84,579,614.34","0.13","84,579,614.34","4,091,902.00","20.67","United States","NASDAQ","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","84,396,731.83","0.13","84,396,731.83","832,397.00","101.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLOW","SPX FLOW INC","Industrials","Equity","84,352,561.80","0.13","84,352,561.80","976,755.00","86.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","Information Technology","Equity","84,199,706.16","0.13","84,199,706.16","1,139,682.00","73.88","United States","NASDAQ","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","84,188,655.72","0.13","84,188,655.72","3,787,164.00","22.23","United States","NASDAQ","USD","1.00","USD","-"
"REZI","RESIDEO TECHNOLOGIES INC","Industrials","Equity","84,154,024.08","0.13","84,154,024.08","3,404,289.00","24.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NAVI","NAVIENT CORP","Financials","Equity","84,089,141.76","0.13","84,089,141.76","3,907,488.00","21.52","United States","NASDAQ","USD","1.00","USD","-"
"HLNE","HAMILTON LANE INC CLASS A","Financials","Equity","83,742,104.58","0.13","83,742,104.58","810,983.00","103.26","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS INC","Information Technology","Equity","83,503,445.76","0.13","83,503,445.76","1,105,713.00","75.52","United States","NASDAQ","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","83,455,923.78","0.13","83,455,923.78","1,012,446.00","82.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MARA","MARATHON DIGITAL HOLDINGS INC","Information Technology","Equity","83,431,243.45","0.13","83,431,243.45","2,234,965.00","37.33","United States","NASDAQ","USD","1.00","USD","-"
"HI","HILLENBRAND INC","Industrials","Equity","83,316,113.40","0.12","83,316,113.40","1,703,806.00","48.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CALX","CALIX NETWORKS INC","Information Technology","Equity","83,237,283.84","0.12","83,237,283.84","1,294,112.00","64.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEO","NEOGENOMICS INC","Health Care","Equity","83,230,723.08","0.12","83,230,723.08","2,644,764.00","31.47","United States","NASDAQ","USD","1.00","USD","-"
"CWT","CALIFORNIA WATER SERVICE GROUP","Utilities","Equity","82,979,980.65","0.12","82,979,980.65","1,213,335.00","68.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","82,852,876.60","0.12","82,852,876.60","1,064,947.00","77.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
